RAJ2000,DEJ2000,R,GCVS,RAJ2000,DEJ2000,VarType,l_Maxmag,Maxmag,n_Maxmag,l_Minmag,Minmag,n_Minmag,Names
43.2139583,-30.6285, ,VW For   ,02 52 51.35,-30 37 42.6,AM     ,>,19.5,j, ,20.5,j,For4; V0252-3037
43.3100833,-37.7706944,*,SY For   ,02 53 14.42,-37 46 14.5,non-CV , ,    , , ,    , ,CoD -38 946/S 7603
43.9084583,-22.7840833, ,Eri      ,02 55 38.03,-22 47 02.7,UG/DQ: , ,18,v, ,    , ,1RXS J025538-224655
44.03375,19.4427778,*,XY Ari   ,02 56 08.10,+19 26 34.0,DQ     , ,13.5,j, ,17.6,j,H 0253+193
44.1652917,37.1398889, ,V372 Per ,02 56 39.67,+37 08 23.6,UG     , ,15.4,B,<,19,B,S 10153
44.3413333,60.6888056,*,LW Cas   ,02 57 21.92,+60 41 19.7,non-CV , ,    , , ,    , ,SVS 1144
45.9457917,64.9098611,*,V664 Cas ,03 03 46.99,+64 54 35.5,CV     , ,13.5,v, ,    , ,Cas1; PK 136+5 1
46.9093333,47.1277778,*,V400 Per ,03 07 38.24,+47 07 40.0,NA     , ,7.8,p, ,19.5,B,
47.3065833,33.5241111,*,Per      ,03 09 13.58,+33 31 26.8,non-CV , ,    , , ,    , ,FBS 0306+333
47.6364583,-9.7516944,*,CP Eri   ,03 10 32.75,-09 45 06.1,IBWD   , ,16.5,V, ,19.7,V,PHL 1475
47.7152918,-7.9167509, ,Eri      ,03 10 51.67,-07 55 00.3,UGSU   , ,15.5,s, ,20.7,V,SDSS J031051-075500
47.8333333,-22.9105556,*,Eri      ,03 11 20.00,-22 54 38.0,CV::   , ,    , , ,    , ,EUVE J0311-2254
48.55525,-22.5953611,*,EF Eri   ,03 14 13.26,-22 35 43.3,AM     , ,13.7,B, ,17.7,B,2A 0311-227
48.9033333,42.4708333,*,QY Per   ,03 15 36.80,+42 28 15.0,UGSU   , ,14.2,p,<,20,p,S 9178
49.7781667,35.4933056,*,Per      ,03 19 06.76,+35 29 35.9,N::    , ,9.5,v, ,    , ,BD +34 620;NSV 15667
50.1879167,28.9538889,*,W Ari    ,03 20 45.10,+28 57 14.0,N::    , ,9.5,v,<,20,v,BD +28 518
50.3095833,61.09075,*,FT Cam   ,03 21 14.30,+61 05 26.7,UG     , ,14,B,<,17.6,B,Antipin V64
50.7243333,41.6170556, ,V336 Per ,03 22 53.84,+41 37 01.4,UG     , ,14.3,V, ,19.7,V,S 9180
51.2639167,19.8313611,*,SV Ari   ,03 25 03.34,+19 49 52.9,N:     , ,12,p, ,22.1,B,116.1905
51.6905,-34.4401667,*,VX For   ,03 26 45.72,-34 26 24.6,UG:    , ,12.7,V,<,19,B,For3
52.784125,43.9640278,*,Per      ,03 31 08.19,+43 57 50.5,CV:    , ,    , , ,    , ,CXOAYSB J033108+4357
52.8000417,43.9042778,*,GK Per   ,03 31 12.01,+43 54 15.4,NA/DQ  , ,0.2,v, ,13.9,B,BD +43 740a
52.8810417,43.9467222,*,Per      ,03 31 31.45,+43 56 48.2,CV:    , ,    , , ,    , ,CXOAYSB J033131+4356
53.0192083,-25.9486111, ,VY For   ,03 32 04.61,-25 56 55.0,AM     , ,17.5,V, ,19.2,V,For1; EXO 0329-2606
53.0320833,54.5919444,*,Cam      ,03 32 07.70,+54 35 31.0,N:     , ,14,B, ,    , ,Lanning 302
53.0645,58.7895833,*,AF Cam   ,03 32 15.48,+58 47 22.5,UG     , ,13.4,V, ,17.3,V,SVS 1153
53.25,-44.85, ,Hor      ,03 33 00.00,-44 51 00.0,CV     , ,    , , ,    , ,CTCV J0333-4451
53.368625,-0.0981944, ,Tau      ,03 33 28.47,-00 05 53.5,CV     , ,20.5,g, ,    , ,SDSS J033328-000553
53.643,-64.0158611, ,Ret1     ,03 34 34.32,-64 00 57.1,NL:    , ,14.2,V, ,    , ,P83l-57
53.86925,-25.7395278,*,UZ For   ,03 35 28.62,-25 44 22.3,AM     , ,17,V, ,20.5,V,EXO 033319-2554.2
55.3332917,-26.6058611,*,SZ For   ,03 41 19.99,-26 36 21.1,non-CV , ,    , , ,    , ,PHL 4482?
55.750875,57.5655556,*,CW Cam   ,03 43 00.21,+57 33 56.0,non-CV , ,    , , ,    , ,BD +57 739
55.8076667,24.0859444, ,V1209 Tau,03 43 13.84,+24 05 09.4,NL     , ,16.2,p, ,17.3,p,NSV 15743
56.0079167,21.9523333,*,V701 Tau ,03 44 01.90,+21 57 08.4,UGSU   , ,14.1,V,<,21,V,SVS 1972
56.526125,29.6874444, ,OV Tau   ,03 46 06.27,+29 41 14.8,NL     , ,15.5,p, ,16.5,p,S 10158
56.77625,34.3216667,*,SZ Per   ,03 47 06.30,+34 19 18.0,N::    , ,9.5,v,<,16.5,p,BD +33 715
57.6954583,48.2103056,*,MR Per   ,03 50 46.91,+48 12 37.1,non-CV , ,    , , ,    , ,S 8540
57.987375,25.4243889,*,V1212 Tau,03 51 56.97,+25 25 27.8,UGSU   , ,15.3,p, ,21.5,p,NSV 15820
58.5429167,-16.8806111,*,Eri      ,03 54 10.30,-16 52 50.2,UG     , ,16,V, ,18.4,v,1RXS J035410-165244
60.155125,6.3795278,*,Tau2     ,04 00 37.23,+06 22 46.3,NL/DQ: , ,14.6,V, ,15.5,V,KUV 03580+0614
60.7775,4.7373889,*,Tau      ,04 03 06.60,+04 44 14.6,CV:    , ,15.8,V, ,17.5,V,RX J0403.1+0444
61.02375,-57.8907222, ,VX Ret   ,04 04 05.70,-57 53 26.6,UG     , ,14.7,B, ,18.1,B,EC 04030-5801
61.8115825,-6.7403327, ,Eri      ,04 07 14.78,-06 44 25.2,UG     , ,15,V, ,17.1,V,SDSS J040714-064425
62.1457917,51.24675,*,FO Per   ,04 08 34.99,+51 14 48.3,UG     , ,11.8,v, ,16.2,p,22.1939
62.25,-30.4833333, ,Eri      ,04 09 00.00,-30 29 00.0,CV     , ,    , , ,    , ,HE 0409-3029
62.2975,-71.2948889,*,VW Hyi   ,04 09 11.40,-71 17 41.6,UGSU   , ,8.5,V, ,13.8,V,RE J0409-7125
62.300875,48.3685,*,MY Per   ,04 09 12.21,+48 22 06.6,UG     , ,16,p,<,18,p,S 8548
62.8574167,-15.3898889, ,XZ Eri   ,04 11 25.78,-15 23 23.6,UG/UGSU, ,14.6,p, ,18.7,p,HV 6276
64.6852083,51.1251667, ,NS Per   ,04 18 44.45,+51 07 30.6,UG     , ,14.3,V, ,18,V,S 8554
65.3009583,16.4380556,*,Tau      ,04 21 12.23,+16 26 17.0,non-CV , ,    , , ,    , ,IRAS 04183+1619
65.6585417,-13.3584722, ,AH Eri   ,04 22 38.05,-13 21 30.5,UG/DQ::, ,13.5,V, ,18.5,V,HV 6292
65.8866667,74.8806389, ,Cam      ,04 23 32.80,+74 52 50.3,CV     , ,16.7,B, ,    , ,1RXS J042332+745300
66.1712917,-20.1199444, ,IM Eri   ,04 24 41.11,-20 07 11.8,NL     , ,11.6,B, ,13,B,EC 04224-2014
66.411,-57.2435556, ,Dor      ,04 25 38.64,-57 14 36.8,AM     , ,19.1,B, ,    , ,EUVE J0425-5714
66.4799167,-19.7584444,*,Eri      ,04 25 55.18,-19 45 30.4,AM     , ,16.6,v, ,    , ,1RXS J042556-194534
67.8142083,58.7521944,*,Cam      ,04 31 15.41,+58 45 07.9,N:     , ,8.5,p, ,    , ,NSV 16032
68.919625,-59.2566111, ,TV Ret   ,04 35 40.71,-59 15 23.8,UG:    , ,16.6,B, ,20.8,B,R1
69.87475,-4.5996111, ,BF Eri   ,04 39 29.94,-04 35 58.6,UG     , ,13.5,p, ,15.5,p,WGA J0439.4-0433
70.4188333,-76.6128611,*,TU Men   ,04 41 40.52,-76 36 46.3,UGSU   , ,11.6,V, ,18.5,V,S 6732
70.4859583,50.71, ,FY Per   ,04 41 56.63,+50 42 36.0,UX/UGZ , ,12.3,B, ,14.5,B,640.1936
70.8390833,47.3573889,*,V392 Per ,04 43 21.38,+47 21 26.6,UGZ:   , ,15,p, ,17.4,V,S 10653
72.4755417,40.542,*,Per1     ,04 49 54.13,+40 32 31.2,non-CV , ,    , , ,    , ,NSV 1725
73.3200833,38.2746389,*,HV Aur   ,04 53 16.82,+38 16 28.7,UGSU   , ,15,p,<,19,p,S 8480
73.3560833,-42.2275556,*,RS Cae   ,04 53 25.46,-42 13 39.2,AM     , ,18.4,V, ,19.6,V,Cae1; RX J0453-4213
74.425875,-69.6751667, ,Dor      ,04 57 42.21,-69 40 30.6,UGSU:  , ,    , , ,    , ,m17.2832.2606
74.9334583,19.4397778,*,V1208 Tau,04 59 44.03,+19 26 23.2,UGSU   , ,18,V, ,    , ,Tau3/RX J0459+1926
75.2836667,-69.4702778, ,Dor      ,05 01 08.08,-69 28 13.0,UGSU   , ,18.3,I, ,21.3,I,OGLE 050108-692813
75.4432917,-3.9890833,*,HY Eri   ,05 01 46.39,-03 59 20.7,AM     , ,17.5,V, ,22.7,V,RX J0501-0359
75.6144583,24.7565, ,V1062 Tau,05 02 27.47,+24 45 23.4,DQ     , ,15.1,B, ,16.1,B,Tau1; 1H 0459+246
75.71225,16.4061111, ,Tau4     ,05 02 50.94,+16 24 22.0,AM     , ,17.1,V, ,    , ,RX J0502.8+1624
75.9103333,26.401,*,HW Tau   ,05 03 38.48,+26 24 03.6,non-ex , ,    , , ,    , ,SVS 1023
76.5545,-4.1355278,*,AQ Eri   ,05 06 13.08,-04 08 07.9,UGSU   , ,12.5,v, ,17.5,V,431.1934
76.7012083,83.3230833,*,Cep      ,05 06 48.29,+83 19 23.1,NL     , ,14.7,V, ,    , ,HS 0455+8315
76.8004167,-67.7197222,*,Dor      ,05 07 12.10,-67 43 11.0,CV/CBSS, ,    , , ,    , ,RX J0507.1-6743
76.974037,-79.8564324, ,AQ Men   ,05 07 53.76,-79 51 23.2,UG:    , ,15.1,B, ,    , ,EC 05114-7955
78.0550611,-32.6943636, ,UU Col   ,05 12 13.22,-32 41 39.8,DQ     , ,17.3,B, ,18.2,B,Col1; RX J0512-3241
78.40225,77.4785556,*,Cam      ,05 13 36.54,+77 28 42.8,VY     , ,15.1,B, ,18.5,B,HS 0506+7725
78.6062083,-52.8978333, ,UU Pic   ,05 14 25.49,-52 53 52.2,NL     ,>,19.5,j, ,20.5,j,Pic2; V0514-5253
78.7416667,-66.8366667,*,RY Dor   ,05 14 58.00,-66 50 12.0,N      , ,12.4,p,<,18,p,HV 4004
78.9225417,1.0778889,*,V1309 Ori,05 15 41.41,+01 04 40.4,AM     , ,15.2,V, ,17.3,V,Ori1; RX J0515+0104
79.111125,-0.2039722, ,V1193 Ori,05 16 26.67,-00 12 14.3,UX     , ,14,v, ,14.3,v,Hamuy's star
79.8519167,16.7168611,*,XX Tau   ,05 19 24.46,+16 43 00.7,NA     , ,5.9,p, ,18.5,p,100.1927
79.9824583,-70.4648333,*,Men      ,05 19 55.79,-70 27 53.4,NA     , ,12,I, ,21.3,I,OGLE 051955-702753
80.3971667,1.1700556,*,GR Ori   ,05 21 35.32,+01 10 12.2,N:     , ,11.5,p, ,22.8,V,2.1916
80.9657083,1.0085556, ,BI Ori   ,05 23 51.77,+01 00 30.8,UG     , ,13.2,p, ,16.7,p,1.1916
81.127,42.7472778, ,Aur      ,05 24 30.48,+42 44 50.2,AM/DQ  , ,    , , ,    , ,1RXS J052430+424449
81.8675,-12.6973056,*,ZZ Lep   ,05 27 28.20,-12 41 50.3,NL:    , ,9.8,V, ,10.2,V,HD 35914
82.1419167,33.3058056, ,QZ Aur   ,05 28 34.06,+33 18 20.9,NA     , ,6,p, ,17.5,B,
82.248125,-3.5646667, ,V1159 Ori,05 28 59.55,-03 33 52.8,UGSU   , ,11.2,V, ,15.1,V,NSV 2011
82.3563732,-32.8177175,*,TV Col   ,05 29 25.52,-32 49 04.0,DQ     , ,13.6,V, ,14.1,V,2A 0526-328
82.369125,-58.9128611, ,BB Dor   ,05 29 28.59,-58 54 46.3,NL     , ,14.3,B,<,18,B,EC 05287-5857
82.78675,9.7576944,*,V650 Ori ,05 31 08.82,+09 45 27.7,UG:    , ,15.5,p,<,17.5,p,S 9560
82.8982917,-46.4016389,*,UW Pic   ,05 31 35.59,-46 24 05.9,AM     , ,16.4,V, ,17.2,V,Pic1; RX J0531-4624
82.9963333,30.4458611,*,T Aur    ,05 31 59.12,+30 26 45.1,NB     , ,4.2,p, ,15.2,p,BD +30 923a
83.141125,62.7978056,*,Cam      ,05 32 33.87,+62 47 52.1,UGSU   , ,11.6,p, ,16,R,1RXS J053234+624755
83.3894167,36.9923611, ,V363 Aur ,05 33 33.46,+36 59 32.5,NL/UX  , ,14.2,V, ,15,V,Lanning 10
83.7108333,-58.0279722,*,TW Pic   ,05 34 50.60,-58 01 40.7,VY:    , ,14.1,V, ,18,V,H 0534-581
85.7032083,60.85875, ,BY Cam   ,05 42 48.77,+60 51 31.5,AM     , ,14.6,V, ,17.5,V,H 0538+608
85.8342917,-41.0318333, ,TX Col   ,05 43 20.23,-41 01 54.6,DQ     , ,14.5,B, ,15.8,B,H 0542-407
86.5632917,-68.59,*,Dor      ,05 46 15.19,-68 35 24.0,UGSU   , ,14,V, ,19,V,CAL 86
86.9515,28.5864444,*,FS Aur   ,05 47 48.36,+28 35 11.2,UG     , ,14.4,v, ,16.2,v,S 3946
87.0954167,22.7005556,*,V421 Tau ,05 48 22.90,+22 42 02.0,non-ex , ,    , , ,    , ,S 10491
87.4391667,-49.3655556, ,Pic      ,05 49 45.40,-49 21 56.0,UG     , ,13.8,V, ,    , ,CTCV J0549-4921
88.0324583,-5.4168056, ,CN Ori   ,05 52 07.79,-05 25 00.5,UGZ    , ,11.9,v, ,16.3,v,39.1906
89.3022917,-59.5905556, ,AH Pic   ,05 57 12.55,-59 35 26.0,NL     , ,14.2,B, ,    , ,EC 05565-5935
89.3497083,72.6979444,*,LS Cam   ,05 57 23.93,+72 41 52.6,DQ     , ,16.7,v, ,19.5,v,HS 0551+7241
89.4969583,53.8958611,*,V405 Aur ,05 57 59.27,+53 53 45.1,DQ     , ,14.6,V, ,    , ,Aur1; RX J0558+5353
89.5745,67.8962222, ,LU Cam   ,05 58 17.88,+67 53 46.4,UG     , ,14,p, ,17,B,RX J0558+6753
89.5840833,20.2625278,*,V529 Ori ,05 58 20.18,+20 15 45.1,N::    , ,6,v, ,20.5,p,
90.0084167,77.8586111, ,Cam1     ,06 00 02.02,+77 51 31.0,CV:    , ,18.5,v, ,    , ,FBS 0552+779
90.13875,-27.1551389, ,Lep      ,06 00 33.30,-27 09 18.5,AM     , ,19,V, ,    , ,RXS J0600.5-2709
90.7875,25.2469444,*,HM Gem   ,06 03 09.00,+25 14 49.0,UG:    , ,16.5,p, ,20.5,p,S 8466
91.12825,-71.4228889,*,AD Men   ,06 04 30.78,-71 25 22.4,UGSS   , ,15,p, ,16.6,p,HV 12703
91.8908333,24.132,*,Gem      ,06 07 33.80,+24 07 55.2,UG:    , ,18.6,V, ,21.1,V,NGC 2158 V57
92.64025,-48.7403889,*,V347 Pup ,06 10 33.66,-48 44 25.4,NL/DQ: , ,13.4,V, ,15.8,V,Pup2; LB 1800
92.6832083,25.1753611,*,Gem1     ,06 10 43.97,+25 10 31.3,NL/UG? , ,15.3,p, ,15.9,p,NSV 2853
92.93525,-81.8230833,*,AH Men   ,06 11 44.46,-81 49 23.1,NL/DQ: , ,13.2,V, ,14,V,Men1; 1H 0551-819
93.0183333,25.4761111, ,HQ Gem   ,06 12 04.40,+25 28 34.0,UG:    , ,16.5,p, ,20,p,S 8470
93.3434583,47.7403611,*,SS Aur   ,06 13 22.43,+47 44 25.3,UG     , ,10.5,v, ,14.5,v,31.1907
93.540875,45.5023611,*,Aur2     ,06 14 09.81,+45 30 08.5,DQ::   , ,11.2,p, ,14.5,p,NSV 2872
93.8289583,15.5165556, ,V344 Ori ,06 15 18.95,+15 30 59.6,UG:    , ,14.2,p, ,17.5,p,S 3966
93.9331155,28.5856456, ,KR Aur   ,06 15 43.94,+28 35 08.4,VY     , ,11.3,v, ,16.9,v,KUV 06126+2836
94.1800417,15.4031667, ,CZ Ori   ,06 16 43.21,+15 24 11.4,UG     , ,11.2,V, ,17,V,144.1928
96.3174167,73.5775556,*,Cam      ,06 25 16.18,+73 34 39.2,DQ     , ,14.8,B, ,    , ,1RXS J0625+7334
96.3269167,5.4421389,*,KT Mon   ,06 25 18.46,+05 26 31.7,NA/WZ  , ,10.3,p,<,21, ,
97.3917105,71.0760307,*,BZ Cam   ,06 29 34.00,+71 04 34.3,VY     , ,12.5,B, ,14.1,B,0623+71
97.5244167,22.3140833,*,CI Gem   ,06 30 05.86,+22 18 50.7,UGSS   , ,14.7,V, ,21,V,S 3428
98.9002917,-62.6400833,*,RR Pic   ,06 35 36.07,-62 38 24.3,NB     , ,1,v, ,12.1,B,He 3-15
98.9647917,26.8827778,*,KN Gem   ,06 35 51.55,+26 52 58.0,non-ex , ,    , , ,    , ,AN 645.1936
99.0951667,65.9042222,*,Cam      ,06 36 22.84,+65 54 15.2,CV:    , ,19.7,V, ,    , ,RX J0636.3+6554
99.135625,35.5953611, ,Aur      ,06 36 32.55,+35 35 43.3,DQ     , ,15.7,B, ,    , ,1RXS J063631+353537
99.2275175,0.0381031, ,CW Mon   ,06 36 54.58,+00 02 17.2,UG     , ,11.9,v, ,16.3,v,61.1936
99.6838333,18.27,*,UV Gem   ,06 38 44.12,+18 16 12.0,UGSU   , ,14.7,p, ,18.5,p,18.1916
100.1541667,31.1905556,*,SY Gem   ,06 40 37.00,+31 11 26.0,N::    , ,9.2,v,<,13,v,BD +31 1380
100.1986667,-24.3871944, ,PU CMa   ,06 40 47.68,-24 23 13.9,UGSU:  , ,11,p, ,16.2,V,1RXS J064047-142305
100.946875,-2.02075,*,BT Mon   ,06 43 47.25,-02 01 14.7,NA     , ,8.5,p, ,16.1,B,67.1939
100.9954167,-20.8758333,*,CMa      ,06 43 58.90,-20 52 33.0,CV/N:  , ,11.4,p, ,19,j,RX J0643-2052
101.0506141,29.944996,*,DM Gem   ,06 44 12.15,+29 56 42.0,NA     , ,4.8,v, ,16.7,p,HD 48328
101.32175,-16.8596389,*,HL CMa   ,06 45 17.22,-16 51 34.7,UG/UGZ , ,11.7,V, ,14.5,V,1E 0643-1648
101.33825,19.0798056, ,KT Gem   ,06 45 21.18,+19 04 47.3,UGSS   , ,16,p, ,20,p,S 9775
101.5816667,50.7633333, ,Lyn      ,06 46 19.60,+50 45 48.0,NL/UGZ:, ,15.5,R, ,    , ,HS 0642+5049
101.8945417,28.1062222, ,IR Gem   ,06 47 34.69,+28 06 22.4,UGSU   , ,11.2,V, ,17,V,S 5423
102.462,-7.62825, ,Mon      ,06 49 50.88,-07 37 41.7,AM     , ,18,B, ,    , ,RX J0649.8-0737
103.2602917,16.6663056, ,KZ Gem   ,06 53 02.47,+16 39 58.7,UG     , ,14.7,p,<,18.5,p,S 9208
103.7264583,32.1410833, ,DN Gem   ,06 54 54.35,+32 08 27.9,NA     , ,3.5,p, ,16,B,HD 50480
104.4048333,-9.8009444,*,EQ Mon   ,06 57 37.16,-09 48 03.4,non-CV , ,    , , ,    , ,92.1936
104.6875,17.0363889,*,Gem      ,06 58 45.00,+17 02 11.0,N::    , ,7,v,<,14,p,NSV 3313
105.2222083,12.8557222,*,MV Gem   ,07 00 53.33,+12 51 20.6,non-CV , ,    , , ,    , ,S 10220
106.0202083,-3.8475278,*,V838 Mon ,07 04 04.85,-03 50 51.1,NC     , ,8.3,v, ,    , ,
106.0217917,-23.7595278,*,CG CMa   ,07 04 05.23,-23 45 34.3,UGSU   , ,13.7,p,<,20,p,
106.036125,26.4196944, ,Gem      ,07 04 08.67,+26 25 10.9,DQ     , ,16.7,B, ,    , ,1RXS J070407+262501
106.0415833,62.0578611,*,LW Cam   ,07 04 09.98,+62 03 28.3,AM     , ,17,V, ,20,V,RX J0704.2+6203
106.4177917,-16.1455,*,EU CMa   ,07 05 40.27,-16 08 43.8,UG     , ,16.5,p,<,19,p,S 7991
107.5208333,2.9333333,*,CMi      ,07 10 05.00,+02 56 00.0,NL?    , ,10.6,p, ,11.4,p,NSV 3432
107.8905833,0.8685278,*,HQ Mon   ,07 11 33.74,+00 52 06.7,UX     , ,12.8,p, ,14.2,p,93.1933
107.9170833,-26.9777778,*,WY CMa   ,07 11 40.10,-26 58 40.0,non-CV , ,    , , ,    , ,
108.1370833,-36.0940556,*,V348 Pup ,07 12 32.90,-36 05 38.6,DQ     , ,15.5,V, ,17,V,Pup1; 1H 0709-360
108.6450833,8.8015,*,AQ CMi   ,07 14 34.82,+08 48 05.4,UGSU   , ,14.4,V, ,18.3,V,14.1934
109.171875,-6.9469722,*,FQ Mon   ,07 16 41.25,-06 56 49.1,UGSU   , ,14.5,V,<,16.5,p,107.1936
109.7049583,-27.1286667, ,WZ CMa   ,07 18 49.19,-27 07 43.2,UGZ:   , ,14.5,p, ,18.3,V,HV 8080
109.810375,65.9625, ,HS Cam   ,07 19 14.49,+65 57 45.0,AM     , ,17,v, ,    , ,RX J0719.2+6557
110.19975,-31.7842778,*,IN CMa   ,07 20 47.94,-31 47 03.4,non-CV , ,    , , ,    , ,RE 0720-318
110.6699167,28.5045833,*,AW Gem   ,07 22 40.78,+28 30 16.5,UGSU   , ,13.1,V, ,19.4,V,8.1933
111.69625,-6.6748611, ,GI Mon   ,07 26 47.10,-06 40 29.5,NA/DQ  , ,5.6,p, ,16.6,B,HD 58756
111.9675,40.7820833, ,V496 Aur ,07 27 52.20,+40 46 55.5,CV/UG: , ,15.7,R,<,21,R,BAO 03
112.2781667,40.6825278,*,HM Aur   ,07 29 06.76,+40 40 57.1,non-CV , ,    , , ,    , ,BV 23
112.2945016,36.9772778, ,Aur      ,07 29 10.68,+36 58 38.2,NL     , ,20.4,s, ,    , ,SDSSp J072910+365838
112.5090833,-19.49775,*,CL Pup   ,07 30 02.18,-19 29 51.9,non-CV , ,    , , ,    , ,S 4069
112.785,5.9800833, ,SV CMi   ,07 31 08.40,+05 58 48.3,UGZ    , ,13,p, ,16.9,V,285.1928
112.8380619,-10.3636147,*,KQ Mon   ,07 31 21.13,-10 21 49.0,UX     , ,12.1,p, ,13,p,119.1943
112.8708333,9.93975,*,BG CMi   ,07 31 29.00,+09 56 23.1,DQ     , ,14.3,V, ,15.4,V,3A 0729+103
113.1401667,72.6951667,*,Cam2     ,07 32 33.64,+72 41 42.6,non-CV , ,    , , ,    , ,FBS 0726+728
113.4222083,67.5377222, ,Cam      ,07 33 41.33,+67 32 15.8,NL     , ,15,B, ,18.4,B,HS 0728+6738
114.487,-25.9496667, ,V445 Pup ,07 37 56.88,-25 56 58.8,NC:    , ,8.6,c,<,14,c,
114.5739151,28.9221387, ,Gem      ,07 38 17.74,+28 55 19.7,CV     , ,19.4,s, ,    , ,SDSS J073817+285520
115.4731667,-27.1105833,*,V574 Pup ,07 41 53.56,-27 06 38.1,N      , ,7,p, ,    , ,Nova Pup 2004
115.9815,18.643, ,Gem      ,07 43 55.56,+18 38 34.8,UG     , ,20.1,g, ,21.3, ,SDSS J074355+183834
116.241625,-52.95325,*,V436 Car ,07 44 57.99,-52 57 11.7,DQ     , ,13.6,B, ,15.8,B,Car1; RX J0744-5257
116.3830303,45.6415979, ,Lyn      ,07 45 31.92,+45 38 29.6,CV     , ,19.1,g, ,    , ,SDSS J074531+453829
116.6301667,-12.9525, ,UY Pup   ,07 46 31.24,-12 57 09.0,UGZ:   , ,13.5,V, ,15.8,V,153.1929
116.6692608,17.5702245, ,Gem      ,07 46 40.62,+17 34 12.8,UG     , ,18.2,g, ,21.4,g,SDSS J074640+173412
116.8199997,42.8136111,*,Lyn      ,07 47 16.80,+42 48 49.0,NL     , ,17.1,s, ,    , ,SDSSp J074716+424849
117.0564106,29.0858892, ,Gem      ,07 48 13.54,+29 05 09.2,NL     , ,18.8,s, ,    , ,SDSS J074813+290509
117.2719167,-23.5667778, ,BV Pup   ,07 49 05.26,-23 34 00.4,UGSS   , ,13.1,V, ,15.9,V,661.1935
117.2933333,-5.8237778, ,Mon      ,07 49 10.40,-05 49 25.6,AM     , ,19,B, ,    , ,RX J0749.1-0549
117.4097083,88.7413611, ,UMi      ,07 49 38.33,+88 44 28.9,CV     , ,15,v, ,    , ,FBS 0657+888
117.822216,14.7399555,*,PQ Gem   ,07 51 17.33,+14 44 23.9,DQ     , ,14.1,V, ,14.5,V,RE 0751+14
118.1685417,36.4731111, ,Lyn      ,07 52 40.45,+36 28 23.2,CV/AM: , ,17.7,s, ,    , ,SDSS J075240+362823
118.1815417,-10.7128056,*,V716 Mon ,07 52 43.57,-10 42 46.1,non-CV , ,    , , ,    , ,NSV 3775
118.35375,-31.6472778, ,HS Pup   ,07 53 24.90,-31 38 50.2,NA:    , ,8,p, ,18.8,B,BV 431
118.5649167,-24.3268056,*,BX Pup   ,07 54 15.58,-24 19 36.5,UGZ    , ,13.8,V, ,18,V,
118.67921,50.1247735, ,Lyn      ,07 54 43.01,+50 07 29.2,DQ:    , ,17.3,g, ,    , ,SDSS J075443+500729
118.7717917,22.0014167,*,U Gem    ,07 55 05.23,+22 00 05.1,UGSS   , ,9.1,V, ,15.2,V,BD +22 1807
119.2557083,63.1005, ,HT Cam   ,07 57 01.37,+63 06 01.8,UG/DQ  , ,11.9,p, ,18.2,B,RX J0757.0+6306
119.7209881,16.2792248, ,DW Cnc   ,07 58 53.03,+16 16 45.2,DQ/VY  , ,15,v, ,17.5,v,FBS 0756+164
119.7541667,-43.8183333,*,Pup      ,07 59 01.00,-43 49 06.0,N::    , ,3,v, ,20,p,NSV 3846
119.8598333,59.8976667,*,Cam      ,07 59 26.36,+59 53 51.6,CV     , ,17.5,p, ,19.8,V,SBS 0755+600
119.915788,19.2381377, ,Cnc      ,07 59 39.79,+19 14 17.3,CV/AM: , ,18.2,g, ,    , ,SDSS J075939+191417
120.4265495,21.0627418, ,Cnc      ,08 01 42.37,+21 03 45.8,CV     , ,18.8,s, ,    , ,SDSS J080142+210345
120.5007991,-53.4641022, ,Car2     ,08 02 00.18,-53 27 50.8,NL     , ,15.8,p, ,    , ,BPM 18764
120.5638156,40.1796567, ,Lyn      ,08 02 15.34,+40 10 47.0,NL     , ,16.7,s, ,    , ,SDSS J080215+401047
120.76625,25.2741667,*,Cnc      ,08 03 03.90,+25 16 27.0,CV     , ,19.6,s, ,    , ,SDSS J080303+251627
120.845125,-28.4745278, ,HZ Pup   ,08 03 22.83,-28 28 28.3,NA     , ,7.7,p, ,17,B,S 8438
120.9400417,-47.8123889, ,V516 Pup ,08 03 45.61,-47 48 44.6,AM     , ,16.2,B, ,18.5,B,RX J0803-4748
121.1426668,51.0636614, ,Lyn      ,08 04 34.20,+51 03 49.2,CV     , ,17.9,g, ,    , ,SDSS J080434+510349
121.5957083,15.4587222,*,Cnc      ,08 06 22.97,+15 27 31.4,IBWD   , ,20,V, ,    , ,RXS J0806.3+1527
121.8655041,-76.5335406,*,Z Cha    ,08 07 27.77,-76 32 00.8,UGSU   , ,11.9,V, ,17.2,V,S 4893
121.9458333,30.8483333,*,VZ Gem   ,08 07 47.00,+30 50 54.0,N::    , ,8.7,v,<,21, ,BD +31 1736
122.1924592,31.5183364, ,Cnc      ,08 08 46.19,+31 31 06.0,UG     , ,14.5,V, ,19.4,s,SDSS J080846+313106
122.23075,56.2506944,*,Lyn      ,08 08 55.38,+56 15 02.5,non-CV , ,    , , ,    , ,SBS 0804+563
122.2849996,38.2350825,*,Lyn      ,08 09 08.40,+38 14 06.3,NL     , ,15.6,s, ,    , ,SDSS J080908+381406
122.52525,-49.2383611,*,Vel      ,08 10 06.06,-49 14 18.1,non-CV , ,    , , ,    , ,CPD -48 1517
